        IDX   DRAMBwWrite   DRAMBwWriteCC    Isolation       
          0         32662            7307         2839
          1         29700            8847         2964
          2         34364            8784         2848
          3         40068            9213         2843
          4         32054            8225         2834
          5         30674            8270         2812
          6         33228            9502         2840
          7         32317            7699         2948
          8         31804            7571         2892
          9         48518           10425         3025
         10         30933           10060         2882
         11         31210            7856         2814
         12         26105            7442         2848
         13         35090            9054         3017
         14         31289            8975         4148
         15         35871            7157         2850
         16         35333           10909         2983
         17         32099            9904         3253
         18         33897            9951         3064
         19         48922            7990         2905
         20         35713            7309         3510
         21         30084            9055         2900
         22         32078            9934         2841
         23         34371            9396         3845
         24         26345            9682         2939
         25         29478            8291         2848
         26         27150            7431         2966
         27         32752            6831         3975
         28         25764            6757         3954
         29         29526            7929         2840
         30         30787            7634         2903
         31         32408            8475         2829
         32         28178            9627         2945
         33         39285            9649         2836
         34         26884            8215         3021
         35         29935            8832         2880
         36         35188            6934         3002
         37         37127            7861         2848
         38         33808            7967         2981
         39         37897            7326         2893
         40         37483           10584         2928
         41         36483            7510         2845
         42         34619            8656         2856
         43         33802            7477         2818
         44         28286            6089         2929
         45         28009            7736         2856
         46         33398           10603         3007
         47         33935            9606         2841
         48         27430            7991         2835
         49         28287            8428         2846
         50         30452            7246         2914
         51         35854            6957         2816
         52         34436            7143         3840
         53         33993           10128         2920
         54         31418            8760         2849
         55         26658            8061         3150
         56         29266            8316         2881
         57         27602            8719         2833
         58         27717            9828         2889
         59         34744           10742         2834
         60         30340            9762         2918
         61         35373            9234         2848
         62         29610            9266         2877
         63         31743            7652         2896
         64         38295            7010         2826
         65         29899            7682         2829
         66         31828            7872         2854
         67         33148           10479         2945
         68         44326            8427         4620
         69         30960            7218         2911
         70         32542            8133         2889
         71         43300            7081         2912
         72         36450            9654         3038
         73         28109           10003         2997
         74         36132            9058         3069
         75         37867            7678         2894
         76         31392            7930         2964
         77         46551            8652         2893
         78         30083            7472         2904
         79         38884            9173         2857
         80         26658            7059         2903
         81         31632            8926         2849
         82         30976            7880         2886
         83         33394            7436         2857
         84         38894            8367         3633
         85         29393            7326         2892
         86         40938            8288         3190
         87         47823            6751         2868
         88         31519            9677         3601
         89         31438            8220         2855
         90         43261            7099         2868
         91         33046            8322         2916
         92         35581            7592         2926
         93         34640            9946         2872
         94         43736            8073         2993
         95         33192            9367         2913
         96         34011            7768         2844
         97         30297            7595         3059
         98         35385            9747         2869
         99         31993            9811         2922
        100         36101            9091         3246
        101         30124            9426         2840
        102         30393           11635         3577
        103         34326            7742         3066
        104         34757            8724         2827
        105         33772            6804         2856
        106         27872            8101         2886
        107         31689            8236         2842
        108         28933            9381         2851
        109         32427            8383         2876
        110         33629            7789         2898
        111         29612            8526         2894
        112         31031           11545         2813
        113         41544           13042         2848
        114         46785           10385         2852
        115         35446            9027         2855
        116         32343           10506         3899
        117         36592           12514         2878
        118         25928           12978         3179
        119         30271            9476         2849
        120         29841            8029         2961
        121         31377            9532         2894
        122         32534            9267         2897
        123         30148           11704         2843
        124         28152           12176         2878
        125         29013           10455         2805
        126         29165            7070         2803
        127         27674            9621         3153
        128         35666            9910         2917
        129         30949           11409         2929
        130         41211            9711         2852
        131         32812            9954         2865
        132         44042            9600         2906
        133         38147           10313         2985
        134         26956            9424         2854
        135         27413            9222         2930
        136         27038            7995         2852
        137         28429            8666         2839
        138         35839            7664         3364
        139         31054            7167         2860
        140         32487            8077         2868
        141         29805            8482         2900
        142         38329            9052         3021
        143         40641            8480         3910
        144         26635            7547         2949
        145         39592            7139         2857
        146         32774            7450         2832
        147         35114            7576         4233
        148         33123            8102         2894
        149         30064           11359         3084
        150         31632            8929         2844
        151         33715           10189         2824
        152         36825           11427         2875
